t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,35.8532
"176,367p",131.404
"352,734p",129.808
"529,101p",132.902
"705,467p",133.639
"881,834p",134.99
"1,0582n",140.564
"1,23457n",140.982
"1,41093n",141.399
"1,5873n",146.605
"1,76367n",147.072
"1,94004n",153.776
"2,1164n",156.993
"2,29277n",181.599
"2,46914n",208.538
"2,6455n",248.148
"2,82187n",313.224
"2,99824n",396.865
"3,1746n",520.608
"3,35097n",711.637
"3,52734n",900.431
"3,7037n",1055.63
"3,88007n",1182.42
"4,05644n",1247.47
"4,2328n",1226.52
"4,40917n",1126.33
"4,58554n",961.357
"4,7619n",784.276
"4,93827n",593.346
"5,11464n",428.372
"5,29101n",301.511
"5,46737n",223.837
"5,64374n",175.533
"5,82011n",151.615
"5,99647n",137.323
"6,17284n",127.181
"6,34921n",129.44
"6,52557n",131.797
"6,70194n",131.994
"6,87831n",133.639
"7,05467n",135.039
"7,23104n",134.376
"7,40741n",133.737
"7,58377n",134.204
"7,76014n",129.342
"7,93651n",130.152
"8,11287n",131.208
"8,28924n",132.362
"8,46561n",128.212
"8,64198n",129.219
"8,81834n",125.609
"8,99471n",126.984
"9,17108n",128.752
"9,34744n",129.219
"9,52381n",131.576
"9,70018n",126.689
"9,87654n",128.949
