t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,1.27906
"176,367p",5.49112
"352,734p",5.88807
"529,101p",5.99833
"705,467p",6.17475
"881,834p",5.97628
"1,0582n",6.50554
"1,23457n",6.43939
"1,41093n",6.1527
"1,5873n",6.17475
"1,76367n",6.50554
"1,94004n",6.61581
"2,1164n",6.96865
"2,29277n",7.18918
"2,46914n",8.18155
"2,6455n",9.7914
"2,82187n",11.8864
"2,99824n",12.5039
"3,1746n",16.0985
"3,35097n",21.347
"3,52734n",28.4039
"3,7037n",32.7703
"3,88007n",43.9069
"4,05644n",49.7068
"4,2328n",50.7653
"4,40917n",48.0308
"4,58554n",39.4082
"4,7619n",28.2716
"4,93827n",20.509
"5,11464n",14.8856
"5,29101n",10.8499
"5,46737n",8.97545
"5,64374n",7.03481
"5,82011n",6.35118
"5,99647n",5.60138
"6,17284n",5.60138
"6,34921n",5.27059
"6,52557n",5.38086
"6,70194n",5.84396
"6,87831n",5.84396
"7,05467n",6.61581
"7,23104n",5.75575
"7,40741n",6.43939
"7,58377n",5.86602
"7,76014n",5.38086
"7,93651n",5.77781
"8,11287n",5.82191
"8,28924n",5.55728
"8,46561n",6.26296
"8,64198n",6.19681
"8,81834n",5.51317
"8,99471n",5.44701
"9,17108n",6.06449
"9,34744n",4.98391
"9,52381n",5.68959
"9,70018n",5.84396
"9,87654n",6.02038
