t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.58535
"176,367p",2.5853
"352,734p",2.0975
"529,101p",2.53652
"705,467p",2.41457
"881,834p",2.24384
"1,0582n",2.56091
"1,23457n",2.92675
"1,41093n",3.41454
"1,5873n",3.70722
"1,76367n",3.95111
"1,94004n",4.07306
"2,1164n",5.43888
"2,29277n",6.04862
"2,46914n",8.92659
"2,6455n",11.3899
"2,82187n",16.2191
"2,99824n",21.4141
"3,1746n",32.2918
"3,35097n",46.5597
"3,52734n",68.4616
"3,7037n",98.6071
"3,88007n",139.825
"4,05644n",176.532
"4,2328n",189.019
"4,40917n",172.727
"4,58554n",128.533
"4,7619n",86.8025
"4,93827n",52.0961
"5,11464n",30.3162
"5,29101n",18.1215
"5,46737n",10.0973
"5,64374n",7.29248
"5,82011n",5.12181
"5,99647n",3.21942
"6,17284n",3.17065
"6,34921n",2.8048
"6,52557n",2.65846
"6,70194n",2.21945
"6,87831n",2.53652
"7,05467n",2.24384
"7,23104n",2.36579
"7,40741n",2.60969
"7,58377n",2.46335
"7,76014n",2.14628
"7,93651n",2.41457
"8,11287n",2.46335
"8,28924n",2.5853
"8,46561n",2.12189
"8,64198n",2.41457
"8,81834n",2.73163
"8,99471n",2.43896
"9,17108n",2.19506
"9,34744n",1.90239
"9,52381n",2.19506
"9,70018n",2.24384
"9,87654n",1.97556
