t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.100001
"176,367p",0.475004
"352,734p",0.575004
"529,101p",0.525004
"705,467p",0.525004
"881,834p",0.525004
"1,0582n",0.700005
"1,23457n",1.15001
"1,41093n",0.725005
"1,5873n",1.10001
"1,76367n",1.15001
"1,94004n",1.45001
"2,1164n",1.65001
"2,29277n",1.42501
"2,46914n",2.95002
"2,6455n",3.47503
"2,82187n",3.87503
"2,99824n",6.47505
"3,1746n",8.85007
"3,35097n",13.9751
"3,52734n",21.6752
"3,7037n",32.7252
"3,88007n",43.7003
"4,05644n",58.1254
"4,2328n",63.7505
"4,40917n",54.3254
"4,58554n",39.9753
"4,7619n",24.1002
"4,93827n",12.4251
"5,11464n",7.45006
"5,29101n",3.75003
"5,46737n",2.32502
"5,64374n",1.62501
"5,82011n",1.17501
"5,99647n",0.650005
"6,17284n",0.600005
"6,34921n",0.550004
"6,52557n",0.375003
"6,70194n",0.700005
"6,87831n",0.425003
"7,05467n",0.575004
"7,23104n",0.550004
"7,40741n",0.625005
"7,58377n",0.400003
"7,76014n",0.550004
"7,93651n",0.650005
"8,11287n",0.375003
"8,28924n",0.575004
"8,46561n",0.525004
"8,64198n",0.500004
"8,81834n",0.700005
"8,99471n",0.400003
"9,17108n",0.625005
"9,34744n",0.650005
"9,52381n",0.575004
"9,70018n",0.575004
"9,87654n",0.600005
