t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0.214284
"352,734p",0.166666
"529,101p",0.214284
"705,467p",0.0238094
"881,834p",0.119047
"1,0582n",0.238094
"1,23457n",0.119047
"1,41093n",0.214284
"1,5873n",0.166666
"1,76367n",0.214284
"1,94004n",0.214284
"2,1164n",0.190475
"2,29277n",0.190475
"2,46914n",0.119047
"2,6455n",0.190475
"2,82187n",0.190475
"2,99824n",0.404759
"3,1746n",0.261903
"3,35097n",0.285712
"3,52734n",0.73809
"3,7037n",0.952374
"3,88007n",1.64285
"4,05644n",1.76189
"4,2328n",2.16665
"4,40917n",1.95237
"4,58554n",1.23809
"4,7619n",1.14285
"4,93827n",0.571425
"5,11464n",0.428568
"5,29101n",0.238094
"5,46737n",0.0952374
"5,64374n",0.190475
"5,82011n",0.142856
"5,99647n",0.0476187
"6,17284n",0.166666
"6,34921n",0.261903
"6,52557n",0.166666
"6,70194n",0.190475
"6,87831n",0.142856
"7,05467n",0.238094
"7,23104n",0.238094
"7,40741n",0.166666
"7,58377n",0.166666
"7,76014n",0.119047
"7,93651n",0.119047
"8,11287n",0.166666
"8,28924n",0.166666
"8,46561n",0.119047
"8,64198n",0.238094
"8,81834n",0.0714281
"8,99471n",0.214284
"9,17108n",0.238094
"9,34744n",0.261903
"9,52381n",0.142856
"9,70018n",0.0952374
"9,87654n",0.142856
