t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,3.21019
"176,367p",11.6095
"352,734p",12.6429
"529,101p",12.7968
"705,467p",12.6209
"881,834p",12.5989
"1,0582n",13.4124
"1,23457n",14.204
"1,41093n",13.3685
"1,5873n",14.4678
"1,76367n",15.985
"1,94004n",16.5567
"2,1164n",18.5795
"2,29277n",21.3719
"2,46914n",27.4625
"2,6455n",33.3772
"2,82187n",46.152
"2,99824n",63.0384
"3,1746n",80.9803
"3,35097n",118.513
"3,52734n",153.803
"3,7037n",192.413
"3,88007n",236.697
"4,05644n",271.195
"4,2328n",278.429
"4,40917n",249.779
"4,58554n",199.889
"4,7619n",149.318
"4,93827n",102.528
"5,11464n",67.2601
"5,29101n",44.0412
"5,46737n",30.3429
"5,64374n",21.6358
"5,82011n",17.0184
"5,99647n",13.9401
"6,17284n",12.2911
"6,34921n",12.6649
"6,52557n",11.5875
"6,70194n",11.8293
"6,87831n",11.4995
"7,05467n",12.0492
"7,23104n",12.467
"7,40741n",12.5769
"7,58377n",12.1811
"7,76014n",12.6429
"7,93651n",12.0712
"8,11287n",12.445
"8,28924n",11.7194
"8,46561n",10.598
"8,64198n",12.0052
"8,81834n",11.8953
"8,99471n",11.0158
"9,17108n",11.8073
"9,34744n",10.3342
"9,52381n",12.0272
"9,70018n",10.9938
"9,87654n",12.489
