t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.0243905
"176,367p",0.0731714
"352,734p",0.0487809
"529,101p",0.219514
"705,467p",0.121952
"881,834p",0.170733
"1,0582n",0.146343
"1,23457n",0.292686
"1,41093n",0.195124
"1,5873n",0.341466
"1,76367n",0.341466
"1,94004n",0.219514
"2,1164n",0.0975618
"2,29277n",0.170733
"2,46914n",0.195124
"2,6455n",0.243905
"2,82187n",0.170733
"2,99824n",0.414638
"3,1746n",0.268295
"3,35097n",0.853666
"3,52734n",0.682933
"3,7037n",0.975618
"3,88007n",1.2683
"4,05644n",1.70733
"4,2328n",1.80489
"4,40917n",1.85367
"4,58554n",1.09757
"4,7619n",0.804885
"4,93827n",0.439028
"5,11464n",0.365857
"5,29101n",0.243905
"5,46737n",0.317076
"5,64374n",0.146343
"5,82011n",0.170733
"5,99647n",0.170733
"6,17284n",0.170733
"6,34921n",0.170733
"6,52557n",0.121952
"6,70194n",0.317076
"6,87831n",0.195124
"7,05467n",0.0975618
"7,23104n",0.195124
"7,40741n",0.268295
"7,58377n",0.243905
"7,76014n",0.170733
"7,93651n",0.219514
"8,11287n",0.146343
"8,28924n",0.146343
"8,46561n",0.170733
"8,64198n",0.0975618
"8,81834n",0.243905
"8,99471n",0.0975618
"9,17108n",0.170733
"9,34744n",0.243905
"9,52381n",0.170733
"9,70018n",0.0975618
"9,87654n",0.195124
