t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.0750011
"176,367p",0.350005
"352,734p",0.350005
"529,101p",0.225003
"705,467p",0.275004
"881,834p",0.450006
"1,0582n",0.600009
"1,23457n",0.350005
"1,41093n",0.750011
"1,5873n",0.975014
"1,76367n",0.625009
"1,94004n",1.10002
"2,1164n",1.15002
"2,29277n",1.67502
"2,46914n",1.57502
"2,6455n",2.40003
"2,82187n",3.12505
"2,99824n",5.30008
"3,1746n",7.70011
"3,35097n",11.7752
"3,52734n",18.4753
"3,7037n",27.5754
"3,88007n",44.6506
"4,05644n",61.1259
"4,2328n",67.976
"4,40917n",61.2259
"4,58554n",44.7006
"4,7619n",27.4004
"4,93827n",14.8752
"5,11464n",7.82511
"5,29101n",3.57505
"5,46737n",1.97503
"5,64374n",0.975014
"5,82011n",0.750011
"5,99647n",0.500007
"6,17284n",0.775011
"6,34921n",0.300004
"6,52557n",0.375005
"6,70194n",0.400006
"6,87831n",0.350005
"7,05467n",0.450006
"7,23104n",0.450006
"7,40741n",0.250004
"7,58377n",0.250004
"7,76014n",0.425006
"7,93651n",0.275004
"8,11287n",0.325005
"8,28924n",0.300004
"8,46561n",0.400006
"8,64198n",0.200003
"8,81834n",0.250004
"8,99471n",0.275004
"9,17108n",0.375005
"9,34744n",0.200003
"9,52381n",0.275004
"9,70018n",0.375005
"9,87654n",0.300004
