t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0.0487845
"352,734p",0.0487845
"529,101p",0.0487845
"705,467p",0.0731767
"881,834p",0.0243922
"1,0582n",0
"1,23457n",0.0731767
"1,41093n",0.146353
"1,5873n",0.0975689
"1,76367n",0.146353
"1,94004n",0.341491
"2,1164n",0.268315
"2,29277n",0.414668
"2,46914n",0.43906
"2,6455n",0.804944
"2,82187n",0.926905
"2,99824n",1.43914
"3,1746n",2.00016
"3,35097n",3.26856
"3,52734n",4.92723
"3,7037n",7.87869
"3,88007n",13.245
"4,05644n",17.1721
"4,2328n",17.7088
"4,40917n",16.6111
"4,58554n",11.1716
"4,7619n",6.34198
"4,93827n",3.04903
"5,11464n",1.5611
"5,29101n",0.682983
"5,46737n",0.268315
"5,64374n",0.170746
"5,82011n",0.0731767
"5,99647n",0.0487845
"6,17284n",0.0243922
"6,34921n",0.0487845
"6,52557n",0.0243922
"6,70194n",0.0243922
"6,87831n",0.146353
"7,05467n",0
"7,23104n",0.0487845
"7,40741n",0
"7,58377n",0
"7,76014n",0
"7,93651n",0.0487845
"8,11287n",0.0731767
"8,28924n",0.0975689
"8,46561n",0.0487845
"8,64198n",0.0731767
"8,81834n",0
"8,99471n",0.0731767
"9,17108n",0.0975689
"9,34744n",0
"9,52381n",0.0243922
"9,70018n",0.146353
"9,87654n",0.0243922
