t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,16.8923
"176,367p",63.818
"352,734p",63.7696
"529,101p",65.4153
"705,467p",61.2769
"881,834p",64.4715
"1,0582n",66.577
"1,23457n",65.0523
"1,41093n",62.3176
"1,5873n",63.9148
"1,76367n",68.1016
"1,94004n",65.5847
"2,1164n",71.0299
"2,29277n",78.1934
"2,46914n",87.9464
"2,6455n",105.758
"2,82187n",127.176
"2,99824n",157.742
"3,1746n",203.918
"3,35097n",269.623
"3,52734n",327.948
"3,7037n",388.838
"3,88007n",445.855
"4,05644n",476.082
"4,2328n",470.903
"4,40917n",443.58
"4,58554n",383.271
"4,7619n",314.177
"4,93827n",244.793
"5,11464n",179.644
"5,29101n",128.895
"5,46737n",99.4661
"5,64374n",80.3715
"5,82011n",70.4733
"5,99647n",63.2372
"6,17284n",58.8568
"6,34921n",62.4144
"6,52557n",62.5112
"6,70194n",60.8171
"6,87831n",61.0591
"7,05467n",63.0436
"7,23104n",62.8742
"7,40741n",62.0998
"7,58377n",65.2943
"7,76014n",63.5518
"7,93651n",60.6235
"8,11287n",63.576
"8,28924n",61.1075
"8,46561n",61.1559
"8,64198n",59.8975
"8,81834n",59.5829
"8,99471n",62.2692
"9,17108n",61.7126
"9,34744n",60.2605
"9,52381n",61.7126
"9,70018n",63.0436
"9,87654n",61.4221
