t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,5.244
"176,367p",19.1795
"352,734p",19.8592
"529,101p",20.539
"705,467p",20.4905
"881,834p",21.2188
"1,0582n",22.6269
"1,23457n",21.8986
"1,41093n",22.3356
"1,5873n",23.8408
"1,76367n",24.4963
"1,94004n",26.2686
"2,1164n",28.9149
"2,29277n",35.2999
"2,46914n",43.2388
"2,6455n",56.9072
"2,82187n",73.6346
"2,99824n",101.894
"3,1746n",137.825
"3,35097n",197.233
"3,52734n",265.623
"3,7037n",325.42
"3,88007n",399.758
"4,05644n",456.641
"4,2328n",476.743
"4,40917n",438.457
"4,58554n",360.258
"4,7619n",273.999
"4,93827n",193.81
"5,11464n",131.95
"5,29101n",85.5792
"5,46737n",56.3245
"5,64374n",39.0144
"5,82011n",29.012
"5,99647n",21.85
"6,17284n",20.976
"6,34921n",19.9806
"6,52557n",18.9852
"6,70194n",20.2477
"6,87831n",19.6407
"7,05467n",19.3737
"7,23104n",18.0627
"7,40741n",19.9321
"7,58377n",20.3934
"7,76014n",18.2812
"7,93651n",18.8153
"8,11287n",19.2523
"8,28924n",20.0535
"8,46561n",19.1309
"8,64198n",19.228
"8,81834n",18.3783
"8,99471n",19.228
"9,17108n",19.2523
"9,34744n",18.0141
"9,52381n",19.1309
"9,70018n",20.7575
"9,87654n",17.9656
