t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,10.7857
"176,367p",42.622
"352,734p",43.2947
"529,101p",43.0777
"705,467p",45.3998
"881,834p",43.9675
"1,0582n",43.6419
"1,23457n",46.6151
"1,41093n",47.8303
"1,5873n",48.5465
"1,76367n",50.5648
"1,94004n",52.1924
"2,1164n",55.3825
"2,29277n",62.9781
"2,46914n",76.4114
"2,6455n",92.1016
"2,82187n",118.426
"2,99824n",156.903
"3,1746n",206.664
"3,35097n",279.018
"3,52734n",354.518
"3,7037n",420.534
"3,88007n",482.101
"4,05644n",519.298
"4,2328n",511.095
"4,40917n",465.066
"4,58554n",393.711
"4,7619n",316.974
"4,93827n",231.773
"5,11464n",162.393
"5,29101n",114.389
"5,46737n",79.0807
"5,64374n",60.222
"5,82011n",52.9736
"5,99647n",45.3998
"6,17284n",41.4935
"6,34921n",42.5569
"6,52557n",42.5135
"6,70194n",42.1662
"6,87831n",41.0594
"7,05467n",42.1662
"7,23104n",44.2062
"7,40741n",42.2964
"7,58377n",41.2331
"7,76014n",41.1897
"7,93651n",40.2782
"8,11287n",42.2747
"8,28924n",40.2131
"8,46561n",41.7322
"8,64198n",41.5369
"8,81834n",41.3633
"8,99471n",41.1897
"9,17108n",42.4049
"9,34744n",42.1228
"9,52381n",40.8207
"9,70018n",41.2331
"9,87654n",41.9926
