t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.0250011
"176,367p",0.0750032
"352,734p",0.0750032
"529,101p",0.150006
"705,467p",0.0750032
"881,834p",0.0750032
"1,0582n",0.125005
"1,23457n",0.100004
"1,41093n",0.125005
"1,5873n",0.200009
"1,76367n",0.100004
"1,94004n",0.0500021
"2,1164n",0.100004
"2,29277n",0.0750032
"2,46914n",0.150006
"2,6455n",0.0750032
"2,82187n",0.125005
"2,99824n",0.0500021
"3,1746n",0.200009
"3,35097n",0.300013
"3,52734n",0.550024
"3,7037n",0.275012
"3,88007n",0.725031
"4,05644n",1.05005
"4,2328n",1.25005
"4,40917n",1.42506
"4,58554n",0.70003
"4,7619n",0.625027
"4,93827n",0.350015
"5,11464n",0.22501
"5,29101n",0.22501
"5,46737n",0.100004
"5,64374n",0.175008
"5,82011n",0.150006
"5,99647n",0.22501
"6,17284n",0.0750032
"6,34921n",0.100004
"6,52557n",0.0750032
"6,70194n",0.0250011
"6,87831n",0.22501
"7,05467n",0.0500021
"7,23104n",0.0500021
"7,40741n",0.175008
"7,58377n",0.100004
"7,76014n",0.250011
"7,93651n",0.125005
"8,11287n",0.0250011
"8,28924n",0.0750032
"8,46561n",0.100004
"8,64198n",0.100004
"8,81834n",0.0500021
"8,99471n",0.125005
"9,17108n",0.100004
"9,34744n",0.100004
"9,52381n",0.0500021
"9,70018n",0.0500021
"9,87654n",0.0750032
