t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,2.58771
"176,367p",10.0921
"352,734p",11.1507
"529,101p",10.2803
"705,467p",10.939
"881,834p",9.99798
"1,0582n",10.6567
"1,23457n",11.0566
"1,41093n",11.0801
"1,5873n",12.2563
"1,76367n",12.4681
"1,94004n",13.1503
"2,1164n",14.0677
"2,29277n",17.3612
"2,46914n",26.3006
"2,6455n",43.0031
"2,82187n",78.8781
"2,99824n",136.325
"3,1746n",246.468
"3,35097n",422.761
"3,52734n",663.842
"3,7037n",959.265
"3,88007n",1329.85
"4,05644n",1676.74
"4,2328n",1800.6
"4,40917n",1665.29
"4,58554n",1319.71
"4,7619n",966.369
"4,93827n",684.732
"5,11464n",468.305
"5,29101n",308.69
"5,46737n",204.265
"5,64374n",131.667
"5,82011n",88.0057
"5,99647n",62.3403
"6,17284n",45.8731
"6,34921n",33.852
"6,52557n",29.1235
"6,70194n",23.9246
"6,87831n",19.9489
"7,05467n",17.9964
"7,23104n",16.3496
"7,40741n",14.1618
"7,58377n",12.2799
"7,76014n",12.4445
"7,93651n",10.6567
"8,11287n",11.5977
"8,28924n",10.492
"8,46561n",10.2803
"8,64198n",10.4214
"8,81834n",10.7743
"8,99471n",10.1626
"9,17108n",10.2567
"9,34744n",10.8449
"9,52381n",10.2332
"9,70018n",9.64511
"9,87654n",9.66863
