t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.219514
"176,367p",1.09757
"352,734p",1.0244
"529,101p",1.09757
"705,467p",1.00001
"881,834p",1.21952
"1,0582n",1.5366
"1,23457n",1.43903
"1,41093n",1.29269
"1,5873n",1.34147
"1,76367n",1.24391
"1,94004n",1.24391
"2,1164n",1.2683
"2,29277n",2.41465
"2,46914n",4.00003
"2,6455n",6.51224
"2,82187n",12.2928
"2,99824n",23.2684
"3,1746n",43.3905
"3,35097n",81.8786
"3,52734n",148.318
"3,7037n",257.977
"3,88007n",422.369
"4,05644n",598.955
"4,2328n",671.321
"4,40917n",593.711
"4,58554n",418.32
"4,7619n",273.148
"4,93827n",161.489
"5,11464n",100.415
"5,29101n",61.8785
"5,46737n",40.2198
"5,64374n",27.0977
"5,82011n",18.1221
"5,99647n",11.9513
"6,17284n",9.63421
"6,34921n",7.07322
"6,52557n",5.63418
"6,70194n",4.87808
"6,87831n",3.51222
"7,05467n",2.43904
"7,23104n",2.46343
"7,40741n",1.70733
"7,58377n",1.70733
"7,76014n",1.21952
"7,93651n",1.48781
"8,11287n",1.12196
"8,28924n",1.36586
"8,46561n",1.07318
"8,64198n",0.804883
"8,81834n",1.07318
"8,99471n",1.29269
"9,17108n",1.12196
"9,34744n",1.04879
"9,52381n",0.878055
"9,70018n",0.853664
"9,87654n",0.707322
