t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,9.66745
"176,367p",37.7733
"352,734p",39.4451
"529,101p",37.4341
"705,467p",39.6147
"881,834p",40.1478
"1,0582n",41.1654
"1,23457n",40.0509
"1,41093n",42.8615
"1,5873n",43.3945
"1,76367n",44.8967
"1,94004n",47.6588
"2,1164n",52.7954
"2,29277n",57.8351
"2,46914n",72.4211
"2,6455n",89.8176
"2,82187n",121.897
"2,99824n",163.838
"3,1746n",216.246
"3,35097n",306.039
"3,52734n",396.341
"3,7037n",473.681
"3,88007n",560.349
"4,05644n",616.924
"4,2328n",623.587
"4,40917n",579.974
"4,58554n",480.223
"4,7619n",388.176
"4,93827n",289.49
"5,11464n",198.728
"5,29101n",133.115
"5,46737n",89.5753
"5,64374n",63.2867
"5,82011n",50.1544
"5,99647n",41.2139
"6,17284n",38.3548
"6,34921n",37.4583
"6,52557n",38.0883
"6,70194n",36.8526
"6,87831n",37.531
"7,05467n",37.5068
"7,23104n",37.9429
"7,40741n",36.3923
"7,58377n",38.0883
"7,76014n",36.7557
"7,93651n",36.2711
"8,11287n",37.6522
"8,28924n",36.2469
"8,46561n",35.2535
"8,64198n",36.2953
"8,81834n",35.3504
"8,99471n",34.7204
"9,17108n",37.4099
"9,34744n",36.1742
"9,52381n",37.6522
"9,70018n",36.4165
"9,87654n",36.1257
