t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.0232547
"176,367p",0.069764
"352,734p",0.069764
"529,101p",0.0465093
"705,467p",0.0465093
"881,834p",0.116273
"1,0582n",0.0465093
"1,23457n",0.0930187
"1,41093n",0.0930187
"1,5873n",0.069764
"1,76367n",0.069764
"1,94004n",0.0232547
"2,1164n",0.0465093
"2,29277n",0.0930187
"2,46914n",0.116273
"2,6455n",0
"2,82187n",0.0465093
"2,99824n",0.116273
"3,1746n",0.232547
"3,35097n",0.116273
"3,52734n",0.302311
"3,7037n",0.279056
"3,88007n",0.441839
"4,05644n",0.674385
"4,2328n",0.790659
"4,40917n",0.534857
"4,58554n",0.279056
"4,7619n",0.395329
"4,93827n",0.209292
"5,11464n",0.232547
"5,29101n",0.069764
"5,46737n",0
"5,64374n",0.0930187
"5,82011n",0.0232547
"5,99647n",0.069764
"6,17284n",0.069764
"6,34921n",0.139528
"6,52557n",0.0232547
"6,70194n",0.0465093
"6,87831n",0.0465093
"7,05467n",0.0232547
"7,23104n",0.116273
"7,40741n",0.0930187
"7,58377n",0.0232547
"7,76014n",0.0930187
"7,93651n",0.0232547
"8,11287n",0.069764
"8,28924n",0.0232547
"8,46561n",0.0232547
"8,64198n",0.0930187
"8,81834n",0.069764
"8,99471n",0
"9,17108n",0.069764
"9,34744n",0.0465093
"9,52381n",0.116273
"9,70018n",0.139528
"9,87654n",0.139528
